Entidad,2003,2008,2013,2018,2023
Coahuila,"0,7107094","0,8636011","0,9761358",1,"1,00"
Chihuahua,"0,8354721","0,6472154","0,6110172","0,53344645","0,43"
Puebla,"0,6051198","0,6793175","0,6668031","0,4874311939","0,32"
Guanajuato,"0,4896459","0,3198869","0,3953080","0,7222996577","0,74"
Estado de México,"0,4737628","0,5635905","0,5270700","0,5211691633","0,33"
Nuevo León,"0,3180517","0,3917140","0,5573540","0,5714584224","0,50"
Sonora,"0,1327636","0,3798000","0,5667655","0,2730288227","0,23"
Aguascalientes,"0,1823062","0,3362512","0,2694987","0,3903530146","0,32"
San Luis Potosí,"0,1164053","0,1761975","0,2279059","0,4730756584","0,33"
Querétaro,"0,1825048","0,2479322","0,2223041","0,2620662541","0,25"
Tamaulipas,"0,2047160","0,2572297","0,2228098","0,2578268203","0,20"
Baja California,"0,1072718","0,1677561","0,2230375","0,2332600645","0,18"
Jalisco,"0,0927260","0,1202056","0,1046502","0,2216174408","0,11"
Morelos,"0,0842965","0,0834168","0,1363495","0,09595067345","0,04"
Ciudad de México,"0,0447640","0,1086260","0,0491811","0,06841840043","0,03"
Durango,"0,0243258","0,0317538","0,0548861","0,06030798891","0,07"
Zacatecas,"0,0234731","0,0241359","0,0501158","0,05716693608","0,05"
Tlaxcala,"0,0228741","0,0258310","0,0379089","0,0573348389","0,04"
Hidalgo,"0,0206054","0,0384676","0,0348224","0,0432168136","0,04"
Sinaloa,"0,0218375","0,0199053","0,0231461","0,0258037313","0,02"
Chiapas,"0,0177740","0,0270364","0,0169319","0,01030962808","0,01"
Veracruz,"0,0128473","0,0177565","0,0203608","0,009330729704","0,00"
Yucatán,"0,0126858","0,0067330","0,0070114","0,01489502527","0,01"
Colima,"0,0123478","0,0064735","0,0111735","0,009560371736","0,01"
Nayarit,"0,0117073",,"0,0018834","0,004200726951","0,01"
Guerrero,"0,0118683","0,0000000","0,0001841","0,0002627228861",s/d
Michoacán,"0,0127959","0,0012119","0,0004843","0,0005444734668","0,00"
Oaxaca,"0,0117202","0,0000802","0,0003557","0,0007924280913","0,00"
Tabasco,"0,0118329","0,0001486","0,0004323","0,00004631082589","0,00"
Quintana Roo,"0,00","0,00","0,00","0,00","0,00"
Baja California Sur,,"0,0000277","0,0000000","0,00003217134209","0,00"
Campeche,"0,00","0,00","0,00","0,00","0,00"
