Entidad,2003,2008,2013,2018,2023
Chihuahua,"0,7572","0,9931","0,9480","0,8565","0,8723"
Baja California,"0,7262","0,8697","0,9337","0,8745","0,7799"
Jalisco,"0,6355","0,6412","0,7648","0,9484","0,8923"
Tamaulipas,"0,3383","0,6764","0,7006","0,6317","0,4467"
Sonora,"0,2235","0,2736","0,3262","0,3742","0,2840"
Nuevo León,"0,1659","0,1697","0,2962","0,3894","0,3077"
Querétaro,"0,0605","0,1399","0,2277","0,2952","0,1670"
Aguascalientes,"0,0000","0,1393","0,2012","0,1630","0,1260"
Estado de México,"0,0825","0,1348","0,2268","0,1156","0,0322"
Coahuila,"0,0270","0,0272","0,0799","0,1032","0,1161"
Ciudad de México,"0,0756","0,0544","0,0868","0,0931","0,0312"
Morelos,"0,0000","0,0421","0,0351","0,0169","0,0000"
Guanajuato,"0,0005","0,0051","0,0223","0,0286","0,0230"
San Luis Potosí,"0,0055","0,0071","0,0000","0,0000","0,0327"
Zacatecas,"0,0000","0,0000","0,0000","0,0235","0,0065"
Durango,"0,0231","0,0000","0,0000","0,0000","0,0011"
Tlaxcala,"0,0000","0,0000","0,0000","0,0000","0,0104"
Yucatán,"0,0038","0,0000","0,0000","0,0061","0,0093"
Sinaloa,"0,0027","0,0000","0,0000","0,0033","0,0018"
Puebla,"0,0014","0,0014","0,0021","0,0017","0,0015"
Hidalgo,"0,0000","0,0000","0,0013","0,0005","0,0000"
Veracruz ,"0,0000","0,0000","0,0000","0,0018","0,0000"
Michoacán,"0,0002","0,0000","0,0000","0,0000","0,0000"
Guerrero,"0,0000","0,0000","0,0000","0,0000","0,0000"
Campeche,"0,0000","0,0000","0,0000","0,0000","0,0000"
Colima,"0,0000","0,0000","0,0000","0,0000","0,0000"
Quintana Roo,"0,0000","0,0000","0,0000","0,0000","0,0000"
Chiapas,"0,0000","0,0000","0,0000","0,0000","0,0000"
Baja California Sur,"0,0000","0,0000","0,0000","0,0000","0,0000"
Tabasco,"0,0000","0,0000","0,0000","0,0000","0,0000"
Nayarit,"0,0000","0,0000","0,0000","0,0000","0,0000"
Oaxaca,"0,0000","0,0000","0,0000","0,0000","0,0000"
