Entidad,2003,2008,2013,2018,2023
Ciudad de México,1,1,1,1,1
Jalisco,"0,2221762995","0,3642620147","0,2370284354","0,2717430353","0,3685970316"
Chihuahua,"0,2209165068","0,5150890002","0,2290449872","0,186332986","0,311213117"
Baja California,"0,252743156","0,4218163604","0,2177382909","0,1894443779","0,3010231339"
Tamaulipas,"0,1255200686","0,3433186765","0,1548612807","0,1445287018","0,1641312343"
Nuevo León,"0,1282978268","0,2351815203","0,1868983171","0,1520385779","0,1731543829"
Sonora,"0,09488601996","0,162035766","0,08258062365","0,08151877991","0,1019704617"
México,"0,05237507202","0,2077045475","0,05804924015","0,05716149122","0,03903052528"
Querétaro,"0,02742650196","0,08080056429","0,09168652083","0,0603873106","0,06519193639"
Coahuila,"0,01869098732","0,05364614066","0,03908931985","0,02897151385","0,04660807328"
Yucatán,"0,01770718403","0,03064956732","0,1089334871","0,01125956047","0,008993675121"
Aguascalientes,"0,002540908269","0,05231187667","0,04415641408","0,03225019496","0,04403671993"
Puebla,"0,02451478662","0,07097971779","0,03976723964","0,01527908112","0,01522870359"
Guanajuato,"0,01225951923","0,09586996245","0,01988127102","0,01702872154","0,01731147518"
Veracruz,"0,0156761493","0,07571350319","0,02230647258","0,01544765775","0,01069312669"
Sinaloa,"0,007799688299","0,03555922186","0,01971664057","0,0108835268","0,008322462259"
Michoacán,"0,0103949157","0,03060709647","0,01161706921","0,0137446546","0,01477589449"
Morelos,"0,002292632834","0,03778700196","0,01314872475","0,007540250228","0,003959505462"
San Luis Potosí,"0,006322484417","0,023716862","0,007468873811","0,005166452768","0,01436585134"
Quintana Roo,"0,005586745593","0,01879930983","0,006209034845","0,007491180138","0,006035741723"
Chiapas,"0,006764950972","0,01901101581","0,009048233868","0,005126891794","0,004055114574"
Guerrero,"0,005423903392","0,02363029814","0,006296290516","0,002967736184","0,00193427171"
Oaxaca,"0,003626326673","0,01626718622","0,007271211691","0,004476047953","0,002743940065"
Tabasco,"0,006124416783","0,01467632134","0,007092361166","0,00364840625","0,002584883789"
Hidalgo,"0,002354561817","0,01546853496","0,004517854945","0,003539058512","0,003326107689"
Zacatecas,"0,001317965205","0,008365290262","0,002072466789","0,01030353717","0,003854937861"
Durango,"0,007704758283","0,01080530685","0,002606157755","0,001112951171","0,001707326094"
Campeche,"0,002435565239","0,004768513096","0,006523442564","0,001593029938","0,0004209288139"
Nayarit,"0,0008542652321","0,006941745089","0,0009988797025","0,0005208623729","0,001090271242"
Baja California Sur,"0,0006024433872","0,005312283417","0,002561379607","0,001488722661","0,0001927581983"
Colima,"0,00108190951","0,004377891435","0,00210573965","0,0006932977146","0,0001323458049"
Tlaxcala,"0,00005089453328","0,001864001893",0,0,"0,003175104573"
