Año Censal,Entidad,Actividad económica,UE Unidades económicas,H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),,,
2023,00 Total Nacional,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",898,453299,347876.096,216669.19,,,
2023,00 Total Nacional,"Subsector 512 Industria fílmica y del video, e industria del sonido",1537,40604,60476.537,31937.673,,,
2023,00 Total Nacional,Rama 5132 Edición de software,83,13307,4560.923,2826.932,,,
2023,00 Total Nacional,Subsector 516 Radio y televisión y provisión de contenido,1698,44159,56584.026,28945.292,,,
2023,00 Total Nacional,Subsector 517 Telecomunicaciones,3123,168337,550831.416,186915.466,,,
2023,00 Total Nacional,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",144,13372,13608.317,8092.517,,,
2023,00 Total Nacional,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,53,832,1374.78,657.918,,,
2023,00 Total Nacional,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,2820,92366,52334.004,32114.106,,,
2023,01 Aguascalientes,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",15,13850,9887.384,6918.432,,,
2023,01 Aguascalientes,"Subsector 512 Industria fílmica y del video, e industria del sonido",14,376,544.864,268.714,,,
2023,01 Aguascalientes,Subsector 516 Radio y televisión y provisión de contenido,14,203,35.421,18.528,,,
2023,01 Aguascalientes,Subsector 517 Telecomunicaciones,37,1035,752.122,215.828,,,
2023,01 Aguascalientes,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,01 Aguascalientes,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,66,971,272.314,204.52,,,
2023,02 Baja California,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",168,93409,56915.862,41700.742,,,
2023,02 Baja California,"Subsector 512 Industria fílmica y del video, e industria del sonido",49,1501,2721.035,1262.995,,,
2023,02 Baja California,Rama 5132 Edición de software,3,38,91.631,47.168,,,
2023,02 Baja California,Subsector 516 Radio y televisión y provisión de contenido,52,623,402.198,225.024,,,
2023,02 Baja California,Subsector 517 Telecomunicaciones,60,3032,26766.846,6887.996,,,
2023,02 Baja California,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",4,577,540.474,477.584,,,
2023,02 Baja California,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,02 Baja California,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,112,2566,2021.524,1504.472,,,
2023,03 Baja California Sur,"Subsector 512 Industria fílmica y del video, e industria del sonido",11,242,508.994,252.597,,,
2023,03 Baja California Sur,Subsector 516 Radio y televisión y provisión de contenido,14,173,49.843,35.68,,,
2023,03 Baja California Sur,Subsector 517 Telecomunicaciones,13,100,37.91,24.708,,,
2023,03 Baja California Sur,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",1,,,,,,
2023,03 Baja California Sur,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,19,126,94.894,70.14,,,
2023,04 Campeche,"Subsector 512 Industria fílmica y del video, e industria del sonido",11,228,315.2,156.795,,,
2023,04 Campeche,Subsector 516 Radio y televisión y provisión de contenido,25,351,113.981,81.747,,,
2023,04 Campeche,Subsector 517 Telecomunicaciones,36,295,146.378,92.312,,,
2023,04 Campeche,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,12,,,,,,
2023,05 Coahuila de Zaragoza,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",28,13781,9795.671,5553.018,,,
2023,05 Coahuila de Zaragoza,"Subsector 512 Industria fílmica y del video, e industria del sonido",53,1068,1570.139,807.725,,,
2023,05 Coahuila de Zaragoza,Rama 5132 Edición de software,1,,,,,,
2023,05 Coahuila de Zaragoza,Subsector 516 Radio y televisión y provisión de contenido,72,1058,565.354,292.543,,,
2023,05 Coahuila de Zaragoza,Subsector 517 Telecomunicaciones,57,892,743.325,349.8,,,
2023,05 Coahuila de Zaragoza,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",5,58,36.661,25.987,,,
2023,05 Coahuila de Zaragoza,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,2,,,,,,
2023,05 Coahuila de Zaragoza,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,79,719,528.524,400.834,,,
2023,06 Colima,"Subsector 512 Industria fílmica y del video, e industria del sonido",12,249,412.928,207.812,,,
2023,06 Colima,Subsector 516 Radio y televisión y provisión de contenido,22,224,53.522,39.395,,,
2023,06 Colima,Subsector 517 Telecomunicaciones,16,66,34.048,22.303,,,
2023,06 Colima,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",1,,,,,,
2023,06 Colima,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,06 Colima,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,29,183,61.674,41.311,,,
2023,07 Chiapas,"Subsector 512 Industria fílmica y del video, e industria del sonido",26,493,910.517,454.663,,,
2023,07 Chiapas,Rama 5132 Edición de software,1,,,,,,
2023,07 Chiapas,Subsector 516 Radio y televisión y provisión de contenido,105,789,132.398,84.438,,,
2023,07 Chiapas,Subsector 517 Telecomunicaciones,257,975,378.102,185.795,,,
2023,07 Chiapas,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,3,7,1.531,0.863,,,
2023,07 Chiapas,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,32,114,25.86,16.634,,,
2023,08 Chihuahua,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",98,110349,59096.892,46557.893,,,
2023,08 Chihuahua,"Subsector 512 Industria fílmica y del video, e industria del sonido",43,1146,2265.663,1131.427,,,
2023,08 Chihuahua,Rama 5132 Edición de software,4,125,108.151,83.344,,,
2023,08 Chihuahua,Subsector 516 Radio y televisión y provisión de contenido,84,1844,1305.529,678.032,,,
2023,08 Chihuahua,Subsector 517 Telecomunicaciones,63,1151,1905.61,1180.739,,,
2023,08 Chihuahua,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",7,625,1453.505,1089.067,,,
2023,08 Chihuahua,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,73,1429,1348.302,572.465,,,
2023,09 Ciudad de México,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",63,3261,3621.985,1163.298,,,
2023,09 Ciudad de México,"Subsector 512 Industria fílmica y del video, e industria del sonido",312,10536,14005.472,7178.199,,,
2023,09 Ciudad de México,Rama 5132 Edición de software,36,8626,3126.849,1943.273,,,
2023,09 Ciudad de México,Subsector 516 Radio y televisión y provisión de contenido,106,20088,45411.931,23050.339,,,
2023,09 Ciudad de México,Subsector 517 Telecomunicaciones,178,120662,473101.095,154745.076,,,
2023,09 Ciudad de México,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",38,5136,4920.826,3101.006,,,
2023,09 Ciudad de México,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,10,389,1022.577,443.82,,,
2023,09 Ciudad de México,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,608,35954,24158.266,14880.117,,,
2023,10 Durango,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",5,193,94.709,37.151,,,
2023,10 Durango,"Subsector 512 Industria fílmica y del video, e industria del sonido",18,327,449.498,262.073,,,
2023,10 Durango,Subsector 516 Radio y televisión y provisión de contenido,19,318,96.004,64.246,,,
2023,10 Durango,Subsector 517 Telecomunicaciones,35,483,326.458,169.565,,,
2023,10 Durango,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,21,,,,,,
2023,11 Guanajuato,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",14,1471,3425.194,858.739,,,
2023,11 Guanajuato,"Subsector 512 Industria fílmica y del video, e industria del sonido",43,1074,1878.004,1139.481,,,
2023,11 Guanajuato,Rama 5132 Edición de software,2,,,,,,
2023,11 Guanajuato,Subsector 516 Radio y televisión y provisión de contenido,47,803,459.701,209.225,,,
2023,11 Guanajuato,Subsector 517 Telecomunicaciones,155,1307,669.109,329.884,,,
2023,11 Guanajuato,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",5,24,8.628,5.58,,,
2023,11 Guanajuato,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,2,,,,,,
2023,11 Guanajuato,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,107,1343,827.25,607.065,,,
2023,12 Guerrero,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1,,,,,,
2023,12 Guerrero,"Subsector 512 Industria fílmica y del video, e industria del sonido",23,486,885.573,521.971,,,
2023,12 Guerrero,Rama 5132 Edición de software,1,,,,,,
2023,12 Guerrero,Subsector 516 Radio y televisión y provisión de contenido,39,380,95.37,27.265,,,
2023,12 Guerrero,Subsector 517 Telecomunicaciones,89,454,155.389,63.691,,,
2023,12 Guerrero,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,12 Guerrero,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,12 Guerrero,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,4,,,,,,
2023,13 Hidalgo,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1,,,,,,
2023,13 Hidalgo,"Subsector 512 Industria fílmica y del video, e industria del sonido",35,550,824.239,452.481,,,
2023,13 Hidalgo,Rama 5132 Edición de software,1,,,,,,
2023,13 Hidalgo,Subsector 516 Radio y televisión y provisión de contenido,54,426,58.949,39.903,,,
2023,13 Hidalgo,Subsector 517 Telecomunicaciones,162,1030,373.761,202.815,,,
2023,13 Hidalgo,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",3,40,1.234,0.753,,,
2023,13 Hidalgo,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,3,,,,,,
2023,13 Hidalgo,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,38,,,,,,
2023,14 Jalisco,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",93,74695,88777.053,48936.097,,,
2023,14 Jalisco,"Subsector 512 Industria fílmica y del video, e industria del sonido",100,2397,3963.668,2213.739,,,
2023,14 Jalisco,Rama 5132 Edición de software,5,172,168.757,141.602,,,
2023,14 Jalisco,Subsector 516 Radio y televisión y provisión de contenido,81,2105,1559.649,525.071,,,
2023,14 Jalisco,Subsector 517 Telecomunicaciones,177,16297,27339.429,12680.01,,,
2023,14 Jalisco,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",8,1251,1709.88,918.609,,,
2023,14 Jalisco,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,14 Jalisco,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,250,15763,5427.474,3125.972,,,
2023,15 México,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",66,3284,3642.591,1288.224,,,
2023,15 México,"Subsector 512 Industria fílmica y del video, e industria del sonido",145,4379,7052.745,3771.585,,,
2023,15 México,Rama 5132 Edición de software,2,,,,,,
2023,15 México,Subsector 516 Radio y televisión y provisión de contenido,44,715,128.999,61.669,,,
2023,15 México,Subsector 517 Telecomunicaciones,300,1598,1402.611,838.651,,,
2023,15 México,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",10,172,571.571,279.66,,,
2023,15 México,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,15 México,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,173,2286,1916.872,1164.854,,,
2023,16 Michoacán de Ocampo,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",4,,,,,,
2023,16 Michoacán de Ocampo,"Subsector 512 Industria fílmica y del video, e industria del sonido",43,2825,1559.425,856.757,,,
2023,16 Michoacán de Ocampo,Rama 5132 Edición de software,1,,,,,,
2023,16 Michoacán de Ocampo,Subsector 516 Radio y televisión y provisión de contenido,95,914,407.069,296.701,,,
2023,16 Michoacán de Ocampo,Subsector 517 Telecomunicaciones,176,1640,1000.771,464.415,,,
2023,16 Michoacán de Ocampo,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",3,,,,,,
2023,16 Michoacán de Ocampo,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,46,1365,881.055,473.511,,,
2023,17 Morelos,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",4,,,,,,
2023,17 Morelos,"Subsector 512 Industria fílmica y del video, e industria del sonido",23,531,760.007,425.045,,,
2023,17 Morelos,Subsector 516 Radio y televisión y provisión de contenido,28,676,162.019,97.035,,,
2023,17 Morelos,Subsector 517 Telecomunicaciones,44,630,293.892,164.469,,,
2023,17 Morelos,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,17 Morelos,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,17 Morelos,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,30,455,170.538,106.08,,,
2023,18 Nayarit,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1,,,,,,
2023,18 Nayarit,"Subsector 512 Industria fílmica y del video, e industria del sonido",18,234,276.738,147.845,,,
2023,18 Nayarit,Subsector 516 Radio y televisión y provisión de contenido,18,343,195.871,125.22,,,
2023,18 Nayarit,Subsector 517 Telecomunicaciones,36,126,75.505,39.669,,,
2023,18 Nayarit,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",1,,,,,,
2023,18 Nayarit,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,18 Nayarit,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,15,390,229.791,137.469,,,
2023,19 Nuevo León,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",74,28922,32079.754,14673.791,,,
2023,19 Nuevo León,"Subsector 512 Industria fílmica y del video, e industria del sonido",108,2317,3702.377,2041.245,,,
2023,19 Nuevo León,Rama 5132 Edición de software,8,4050,784.188,465.137,,,
2023,19 Nuevo León,Subsector 516 Radio y televisión y provisión de contenido,37,1329,892.919,431.712,,,
2023,19 Nuevo León,Subsector 517 Telecomunicaciones,103,5615,8754.875,5015.3,,,
2023,19 Nuevo León,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",18,3007,1549.376,843.089,,,
2023,19 Nuevo León,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,5,225,308.331,186.42,,,
