Entidad,2023,2018,2013,2008,2003
Aguascalientes,0.04403672,0.032250195,0.044156414,0.052311877,0.002540908
Baja California,0.301023134,0.189444378,0.217738291,0.42181636,0.252743156
Baja California Sur,0.000192758,0.001488723,0.00256138,0.005312283,0.000602443
Campeche,0.000420929,0.00159303,0.006523443,0.004768513,0.002435565
Chiapas,0.004055115,0.005126892,0.009048234,0.019011016,0.006764951
Chihuahua,0.311213117,0.186332986,0.229044987,0.515089,0.220916507
Ciudad de México,1,1,1,1,1
Coahuila,0.046608073,0.028971514,0.03908932,0.053646141,0.018690987
Colima,0.000132346,0.000693298,0.00210574,0.004377891,0.00108191
Durango,0.001707326,0.001112951,0.002606158,0.010805307,0.007704758
Guanajuato,0.017311475,0.017028722,0.019881271,0.095869962,0.012259519
Guerrero,0.001934272,0.002967736,0.006296291,0.023630298,0.005423903
Hidalgo,0.003326108,0.003539059,0.004517855,0.015468535,0.002354562
Jalisco,0.368597032,0.271743035,0.237028435,0.364262015,0.2221763
México,0.039030525,0.057161491,0.05804924,0.207704547,0.052375072
Michoacán,0.014775894,0.013744655,0.011617069,0.030607096,0.010394916
Morelos,0.003959505,0.00754025,0.013148725,0.037787002,0.002292633
Nayarit,0.001090271,0.000520862,0.00099888,0.006941745,0.000854265
Nuevo León,0.173154383,0.152038578,0.186898317,0.23518152,0.128297827
Oaxaca,0.00274394,0.004476048,0.007271212,0.016267186,0.003626327
Puebla,0.015228704,0.015279081,0.03976724,0.070979718,0.024514787
Querétaro,0.065191936,0.060387311,0.091686521,0.080800564,0.027426502
Quintana Roo,0.006035742,0.00749118,0.006209035,0.01879931,0.005586746
San Luis Potosí,0.014365851,0.005166453,0.007468874,0.023716862,0.006322484
Sinaloa,0.008322462,0.010883527,0.019716641,0.035559222,0.007799688
Sonora,0.101970462,0.08151878,0.082580624,0.162035766,0.09488602
Tabasco,0.002584884,0.003648406,0.007092361,0.014676321,0.006124417
Tamaulipas,0.164131234,0.144528702,0.154861281,0.343318676,0.125520069
Tlaxcala,0.003175105,0,0,0.001864002,5.08945E-05
Veracruz,0.010693127,0.015447658,0.022306473,0.075713503,0.015676149
Yucatán,0.008993675,0.01125956,0.108933487,0.030649567,0.017707184
Zacatecas,0.003854938,0.010303537,0.002072467,0.00836529,0.001317965
