Empresa,Año,Activos_Millones,Capital_Accs_Millones,Ingresos_Millones,Ingreso_%_cambio_Año_Anterior,Utilidad_Millones,Utilidad_%_Ventas,Utilidad_%_Año_Anterior,Utilidad_%_Activos,Valor_Mercado_Millones,Cambio_%_Valor_Mercado,Empleados,Ventas_empleado,Resultados_Empleado,ROE,Rotación_Activos,Multiplicador_Capital,Industria,Vía de desarrollo
Actia de México,2013,355.797,105.4378,394.7515,0,14.1986,3.596845104,0,3.990646352,90.75,184.5719661,2680,147295.3358,5297.985075,0.13466328,1.109485184,3.374472912,Autopartes electrónicas,Neoliberal predominante
Actia de México,2014,380.63125,118.7725,424.86625,7.628786718,18.9075,4.450224041,33.16453735,4.967406118,120,32.23140496,2762,153825.5793,6845.582911,0.15919089,1.11621484,3.204708582,Autopartes electrónicas,Neoliberal predominante
Actia de México,2015,372.2246,122.1044,419.3288,-1.30333958,17.776,4.239155527,-5.984397726,4.775611284,110,-8.333333333,3067,136722.791,5795.891751,0.145580339,1.126547789,3.04841267,Autopartes electrónicas,Neoliberal predominante
Actia de México,2016,384.90614,132.7491,457.54688,9.11410807,22.5621,4.931101268,26.92450495,5.861714755,150,36.36363636,3268,140008.2252,6903.947368,0.169960474,1.188723256,2.899500938,Autopartes electrónicas,Neoliberal predominante
Actia de México,2017,493.66395,146.56865,501.5495,9.617073555,9.7865,1.951253067,-56.62416176,1.982421443,160,6.666666667,3459,144998.4099,2829.285921,0.066770759,1.015973518,3.368141482,Autopartes electrónicas,Neoliberal predominante
Actia de México,2018,598.4092,154.06772,552.7632,10.21109581,10.66504,1.929404852,8.977060236,1.782231958,77.64,-51.475,3697,149516.6892,2884.782256,0.069223066,0.923721093,3.884066046,Autopartes electrónicas,Neoliberal predominante
Actia de México,2019,623.4701,154.4268,572.4521,3.561904989,9.5964,1.676367333,-10.02002805,1.539191695,97.03,24.97424008,3854,148534.5355,2489.984432,0.062142063,0.918170895,4.037318004,Autopartes electrónicas,Neoliberal predominante
Actia de México,2020,612.3733,127.6957,482.4523,-15.7218045,-21.3851,-4.432583283,-322.8450252,-3.492167278,67.19,-30.75337524,3652,132106.3253,-5855.722892,-0.167469226,0.787840195,4.795567118,Autopartes electrónicas,Neoliberal predominante
Actia de México,2021,717.9648,135.6168,535.092,10.91086103,-7.2888,-1.362158283,-65.91645585,-1.015202974,83.02,23.56005358,3685,145208.1411,-1977.964722,-0.053745554,0.74529002,5.294069761,Autopartes electrónicas,Neoliberal predominante
Actia de México,2022,657.59295,140.89005,524.82255,-1.919193335,21.64785,4.12479418,-397.001564,3.291983285,89.95,8.347386172,3729,140740.8286,5805.269509,0.153650666,0.798096376,4.667419381,Autopartes electrónicas,Neoliberal predominante
Actia de México,2023,667.8021739,150.6336957,581.6565217,10.82917869,8.955434783,1.539643148,-58.63129695,1.341031092,88.36,-1.767648694,4092,142144.8,2188.522674,0.059451737,0.87100124,4.433285468,Autopartes electrónicas,Neoliberal predominante
Actia de México,2024,680.6413043,160.2576087,629.6978261,8.259394084,19.78804348,3.142466538,120.9612817,2.907264568,54.01,-38.87505659,3994,157660.9479,4954.442533,0.123476468,0.925153707,4.247169978,Autopartes electrónicas,Neoliberal predominante
American Axle & Manufacturing,2011,2328.7,-418.6,2585,13.2282085,137.1,5.303675048,19.73799127,5.88740499,740,-22.10526316,11300,228761.0619,12132.74336,-0.327520306,1.110061408,-5.563067367,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2012,2866,-113.9,2930.9,13.38104449,366.7,12.51151523,167.4690007,12.79483601,830,12.16216216,11300,259371.6814,32451.32743,-3.219490781,1.022644801,-25.16242318,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2013,3027.5,40.5,3207.3,9.430550343,94.5,2.946403517,-74.22961549,3.121387283,1540,85.54216867,12650,253541.502,7470.355731,2.333333333,1.059388935,74.75308642,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2014,3259.2,113.4,3696,15.23711533,143,3.869047619,51.32275132,4.387579774,1710,11.03896104,12820,288299.532,11154.44618,1.261022928,1.134020619,28.74074074,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2015,3176.9,275.7,3903.1,5.603354978,235.6,6.036227614,64.75524476,7.416034499,1440,-15.78947368,13050,299088.1226,18053.63985,0.854552049,1.228587617,11.52303228,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2016,3422.3,504.2,3948,1.150367656,240.7,6.096757852,2.164685908,7.033281711,1470,2.083333333,13100,301374.0458,18374.0458,0.477389925,1.153610145,6.787584292,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2017,7882.8,1536,6266,58.71327254,337.5,5.386211299,40.21603656,4.281473588,1890,28.57142857,25000,250640,13500,0.219726563,0.794895215,5.13203125,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2018,7510.7,1483.9,7270.4,16.02936483,-56.8,-0.78125,-116.8296296,-0.75625441,1230,-34.92063492,25000,290816,-2272,-0.038277512,0.968005645,5.061459667,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2019,6644.6,980,6530.9,-10.17137984,-484.1,-7.412454639,752.2887324,-7.285615387,1210,-1.62601626,20000,326545,-24205,-0.493979592,0.98288836,6.780204082,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2020,5916.3,373.2,4710.8,-23.01979819,-561.1,-11.91092808,15.90580459,-9.483968021,940,-22.31404959,20000,235540,-28055,-1.503483387,0.796240894,15.85289389,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2021,5635.7,457.8,5156.6,9.539532571,5.9,0.114416476,-101.051506,0.104689746,1060,12.76595745,18000,286477.7778,327.7777778,0.012887724,0.914988378,12.31039755,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2022,5469.4,627.3,5802.4,12.52375596,64.3,1.10816214,989.8305085,1.175631696,890,-16.03773585,19000,305389.4737,3384.210526,0.10250279,1.060884192,8.718954248,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2023,5356.3,604.9,6079.5,4.775610092,-33.6,-0.552677029,-152.2550544,-0.627298695,1030,15.73033708,19000,319973.6842,-1768.421053,-0.055546371,1.135018576,8.854852042,Autopartes,Neoliberal predominante
American Axle & Manufacturing,2024,5059.9,562.8,6124.9,0.746771938,35,0.571437901,-204.1666667,0.691713275,680,-33.98058252,19000,322363.1579,1842.105263,0.062189055,1.210478468,8.9905828,Autopartes,Neoliberal predominante
Amphenol,2011,4445.225,2171.8,3939.786,10.85183004,524.191,13.30506276,5.597445634,11.79222649,7520,-18.79049676,40416,97480.84917,12969.88816,0.241362464,0.886296194,2.046792983,Autopartes electrónicas,Neoliberal predominante
Amphenol,2012,5215.463,2430,4292.065,8.94157703,555.317,12.93822437,5.937911944,10.64751106,10340,37.5,41600,103174.6394,13348.96635,0.228525514,0.822949947,2.14628107,Autopartes electrónicas,Neoliberal predominante
Amphenol,2013,6168,2859.5,4614.669,7.516288779,635.672,13.77502915,14.47011347,10.30596628,14100,36.36363636,44500,103700.427,14284.76404,0.222301801,0.748162938,2.157020458,Autopartes electrónicas,Neoliberal predominante
Amphenol,2014,7027,2907.4,5346,15.84796223,709,13.26225215,11.53550888,10.08965419,16670,18.22695035,50700,105443.787,13984.22091,0.243860494,0.760779849,2.416936094,Autopartes electrónicas,Neoliberal predominante
Amphenol,2015,7458.4,3238.5,5569,4.17134306,764,13.7188005,7.757404795,10.24348386,16080,-3.539292142,50700,109842.2091,15069.03353,0.235911688,0.74667489,2.303041532,Autopartes electrónicas,Neoliberal predominante
Amphenol,2016,8498.7,3674.9,6286,12.87484288,823,13.0925867,7.722513089,9.683833998,20720,28.85572139,62000,101387.0968,13274.19355,0.223951672,0.739642534,2.312634357,Autopartes electrónicas,Neoliberal predominante
Amphenol,2017,10003.9,3989.8,7011,11.53356666,651,9.285408644,-20.89914945,6.50746209,26800,29.34362934,70000,100157.1429,9300,0.163166073,0.700826678,2.50736879,Autopartes electrónicas,Neoliberal predominante
Amphenol,2018,10044.9,4017,8202,16.98759093,1205,14.69153865,85.09984639,11.99613734,24180,-9.776119403,73600,111440.2174,16372.28261,0.299975106,0.816533763,2.500597461,Autopartes electrónicas,Neoliberal predominante
Amphenol,2019,10815.5,4530.3,8225,0.28041941,1155,14.04255319,-4.149377593,10.67911793,32240,33.33333333,74000,111148.6486,15608.10811,0.254950003,0.760482641,2.38736949,Autopartes electrónicas,Neoliberal predominante
Amphenol,2020,12327.3,5384.9,8599,4.547112462,1203,13.98999884,4.155844156,9.758827967,39120,21.33995037,80000,107487.5,15037.5,0.223402477,0.697557454,2.289234712,Autopartes electrónicas,Neoliberal predominante
Amphenol,2021,14678.4,6360.1,10876,26.47982324,1569,14.42625965,30.42394015,10.68917593,52300,33.69120654,90000,120844.4444,17433.33333,0.246694234,0.740952692,2.307888241,Autopartes electrónicas,Neoliberal predominante
Amphenol,2022,15326.2,7073.5,12623,16.06289077,1902,15.0677335,21.22370937,12.41012123,45310,-13.36520076,91000,138714.2857,20901.0989,0.268890931,0.823622294,2.166706722,Autopartes electrónicas,Neoliberal predominante
Amphenol,2023,16526.4,8346.5,12554.7,-0.541075814,1928,15.35679865,1.366982124,11.66618259,59310,30.89825646,95000,132154.7368,20294.73684,0.230995028,0.759675428,1.980039538,Autopartes electrónicas,Neoliberal predominante
Amphenol,2024,21440.2,9792,15222.7,21.2510056,2424,15.9235878,25.72614108,11.30586468,85280,43.78688248,125000,121781.6,19392,0.24754902,0.710007369,2.189562908,Autopartes electrónicas,Neoliberal predominante
Aptiv,2011,9128,2171,16041,16.09611348,1223,7.624212954,73.96870555,13.39833479,7070,0,104000,154240.3846,11759.61538,0.563334869,1.757340053,4.204514049,Autopartes electrónicas,Neoliberal predominante
Aptiv,2012,10176,2830,15519,-3.254161212,1160,7.474708422,-5.151267375,11.39937107,12060,70.57991513,118000,131516.9492,9830.508475,0.409893993,1.525058962,3.595759717,Autopartes electrónicas,Neoliberal predominante
Aptiv,2013,11047,3434,16463,6.082866164,1301,7.902569398,12.15517241,11.77695302,18420,52.73631841,117000,140709.4017,11119.65812,0.378858474,1.490268851,3.216948165,Autopartes electrónicas,Neoliberal predominante
Aptiv,2014,10721,3013,15499,-5.855554881,1440,9.290921995,10.68408916,13.43158287,21200,15.09229099,127000,122039.3701,11338.58268,0.477928974,1.445667382,3.558247594,Autopartes electrónicas,Neoliberal predominante
Aptiv,2015,11973,2733,15165,-2.15497774,1535,10.12199143,6.597222222,12.82051282,23850,12.5,139000,109100.7194,11043.16547,0.56165386,1.26659985,4.38090011,Autopartes electrónicas,Neoliberal predominante
Aptiv,2016,12292,2401,16661,9.86482031,1257,7.544565152,-18.11074919,10.22616336,18240,-23.52201258,145000,114903.4483,8668.965517,0.523531862,1.355434429,5.119533528,Autopartes electrónicas,Neoliberal predominante
Aptiv,2017,12169,3517,12884,-22.6697077,1428,11.08351444,13.60381862,11.7347358,22550,23.62938596,147000,87646.2585,9714.285714,0.406027865,1.058755855,3.46005118,Autopartes electrónicas,Neoliberal predominante
Aptiv,2018,12480,3670,14435,12.0381869,1107,7.668860409,-22.4789916,8.870192308,16000,-29.04656319,143000,100944.0559,7741.258741,0.301634877,1.156650641,3.400544959,Autopartes electrónicas,Neoliberal predominante
Aptiv,2019,13459,4011,14357,-0.540353308,1009,7.027930626,-8.852755194,7.496842262,24240,51.5,141000,101822.695,7156.028369,0.251558215,1.066721153,3.355522314,Autopartes electrónicas,Neoliberal predominante
Aptiv,2020,17522,7905,13066,-8.992129275,1822,13.94458901,80.57482656,10.39835635,35180,45.1320132,151000,86529.80132,12066.22517,0.230487034,0.745691131,2.21657179,Autopartes electrónicas,Neoliberal predominante
Aptiv,2021,18007,8347,15618,19.53160876,609,3.899346907,-66.5751921,3.382018104,44620,26.83342808,155000,100761.2903,3929.032258,0.072960345,0.867329372,2.157302025,Autopartes electrónicas,Neoliberal predominante
Aptiv,2022,21884,8809,17489,11.97976694,590,3.373549088,-3.119868637,2.696033632,25230,-43.45584939,160000,109306.25,3687.5,0.066976955,0.799168342,2.484277444,Autopartes electrónicas,Neoliberal predominante
Aptiv,2023,24427,11548,20051,14.64920807,2909,14.50800459,393.0508475,11.90895321,25370,0.554894966,154000,130201.2987,18889.61039,0.251905092,0.820853973,2.115258053,Autopartes electrónicas,Neoliberal predominante
Aptiv,2024,23458,8796,19713,-1.685701461,1787,9.065083955,-38.56995531,7.617870236,14180,-44.10721324,141000,139808.5106,12673.75887,0.203160528,0.840352971,2.666894043,Autopartes electrónicas,Neoliberal predominante
Archermind,2015,48.7,37.1,70.2,0,6.8,9.686609687,0,13.96303901,0.4,0,1119,62734.58445,6076.854334,0.18328841,1.441478439,1.312668464,My/oS electrónicos,Asiática
Archermind,2016,54.4,41.8,76.1,8.404558405,7.6,9.986859396,11.76470588,13.97058824,0.4,0,1119,68007.14924,6791.778374,0.181818182,1.398897059,1.301435407,My/oS electrónicos,Asiática
Archermind,2017,79.7,66.5,71.9,-5.519053876,5.8,8.066759388,-23.68421053,7.277289837,415.8,0,1948,36909.65092,2977.412731,0.087218045,0.902132999,1.198496241,My/oS electrónicos,Asiática
Archermind,2018,90.2,69.8,80.8,12.3783032,2.4,2.97029703,-58.62068966,2.66075388,1458.6,250.7936508,2777,29096.14692,864.2419878,0.034383954,0.89578714,1.29226361,My/oS electrónicos,Asiática
Archermind,2019,123.1,93.5,95.9,18.68811881,24.5,25.54744526,920.8333333,19.90251828,21168.8,1351.309475,3606,26594.56461,6794.231836,0.262032086,0.77904143,1.31657754,My/oS electrónicos,Asiática
Archermind,2020,160.1,116.1,135.8,41.60583942,8.5,6.259204713,-65.30612245,5.309181761,10362,-51.05060277,4435,30620.06764,1916.572717,0.073212748,0.848219863,1.378983635,My/oS electrónicos,Asiática
Archermind,2021,270.4,185.7,220.8,62.59204713,4.6,2.083333333,-45.88235294,1.701183432,10171.9,-1.834587917,7445,29657.48825,617.8643385,0.024771136,0.816568047,1.456112009,My/oS electrónicos,Asiática
Archermind,2022,276.3,159.8,276.5,25.22644928,-24.9,-9.005424955,-641.3043478,-9.01194354,7288,-28.35163539,7534,36700.29201,-3305.017255,-0.155819775,1.000723851,1.729036295,My/oS electrónicos,Asiática
